Order_ID,User_ID,Restaurant_ID,Driver_ID,Item_Name,Quantity,Total_Price,Order_Time,Delivery_Time,Delivery_Duration_Minutes,City,Payment_Method,Order_Status,Driver_Vehicle,Restaurant_Lat,Restaurant_Lon,Customer_Lat,Customer_Lon,Driver_Lat,Driver_Lon,Delivery_Distance_km,Traffic_Level,Driver_Availability,Hour,Revenue,Day,Month
1,U3522,358,485,Fried Chicken,3,273.72,2025-06-16 08:32:00,,39.0,Alexandria,Wallet,Delivered,Motorbike,31.19508160475389,29.92193116173671,31.19140351868031,29.90498215906921,31.21565812246669,29.910664404963438,1.666106279211867,High,Offline,8,821.1600000000001,Monday,June
2,U9214,316,65,Sandwich,3,365.82,2025-06-03 21:27:00,,33.0,Zagazig,Credit Card,Delivered,Motorbike,30.6057285722564,31.503078865982555,30.586047063620416,31.48582035063798,30.580328536989043,31.502379899243408,2.7386975284791606,Low,Online,21,1097.46,Tuesday,June
3,U7307,357,309,Koshary,3,401.94,2025-06-01 14:48:00,,38.0,Assiut,Cash,In Transit,Car,27.190179757672457,31.17774147798413,27.16486861991679,31.169217567981978,27.16297638791235,31.189457658671955,2.929078716639226,Medium,Online,14,1205.82,Sunday,June
4,U3612,420,32,Sushi,2,221.18,2025-06-13 02:30:00,,52.0,Mansoura,Cash,Delivered,Car,31.041846339367883,31.381228506315843,31.035773481013727,31.3804395758544,31.054689761319093,31.40118701229464,0.67749794379924,Low,Online,2,442.36,Friday,June
5,U3492,73,364,Koshary,5,355.55,2025-06-06 09:48:00,,44.0,Mansoura,Wallet,Delivered,Motorbike,31.024140745617697,31.376103865417967,31.0260232539858,31.39688136089997,31.03535043131084,31.389315039724057,1.994768748175881,High,Online,9,1777.75,Friday,June
6,U7439,750,270,Sushi,3,205.44,2025-06-04 12:16:00,,29.0,Mansoura,Credit Card,Delivered,Bicycle,31.02413978081345,31.38781725341913,31.029003812163843,31.373868829788123,31.022572927897283,31.380646260587245,1.4368067559824198,Medium,Online,12,616.3199999999999,Wednesday,June
7,U8948,827,4,Sushi,1,133.94,2025-06-11 04:09:00,,40.0,Cairo,Wallet,Delivered,Bicycle,30.02672334448673,31.24910118602642,30.043524502597787,31.233371964288093,30.03876859651424,31.231834825745768,2.402166941163051,Low,Online,4,133.94,Wednesday,June
8,U8672,908,109,Shawarma,5,404.8,2025-06-12 18:37:00,,41.0,Mansoura,Cash,Delivered,Bicycle,31.052547045831,31.39297577747368,31.053352027123463,31.36283427853003,31.049186759748725,31.373709593669776,2.87843375574362,High,Online,18,2024.0,Thursday,June
9,U2205,814,215,Pizza,1,101.03,2025-06-01 22:18:00,,47.0,Mansoura,Credit Card,Delivered,Motorbike,31.04194460046973,31.37512769693488,31.04103629206876,31.38550299243528,31.04106248688894,31.36848806012432,0.9955620425604896,Low,Online,22,101.03,Sunday,June
10,U7411,362,416,Pizza,1,130.05,2025-06-09 00:18:00,,46.0,Cairo,Wallet,Delivered,Bicycle,30.05272290311184,31.236076779753965,30.02510672502825,31.2292813198442,30.06203172598671,31.22764247790965,3.13071265105208,Low,Online,0,130.05,Monday,June
11,U7405,890,112,Sushi,2,296.24,2025-06-04 22:11:00,,32.0,Assiut,Wallet,Delivered,Car,27.161723379771832,31.164126251974047,27.166640465046004,31.190456211111357,27.200418084786943,31.194839495672653,2.665842350413515,Low,Online,22,592.48,Wednesday,June
12,U8337,164,471,Burger,1,111.55,2025-06-02 16:33:00,,31.0,Tanta,Credit Card,Delivered,Car,30.80529639408648,31.013011125568976,30.769033690765248,31.001060827364,30.781136780334062,31.015290584277277,4.179846269680323,High,Online,16,111.55,Monday,June
13,U5398,718,189,Burger,1,39.45,2025-06-02 04:17:00,,20.0,Giza,Cash,Cancelled,Bicycle,30.026397705632014,31.19871583303408,30.00055060740021,31.217903497836705,30.028382086553574,31.21055277398405,3.4111643088647456,Low,Online,4,39.45,Monday,June
14,U9001,157,303,Sushi,1,116.96,2025-06-08 03:35:00,,28.0,Tanta,Credit Card,Delivered,Bicycle,30.77499356442713,30.99584365976571,30.78024656067786,31.00918632964816,30.80481006876708,30.978615875301404,1.4037370054235896,Low,Online,3,116.96,Sunday,June
15,U8797,563,340,Burger,4,562.72,2025-06-06 13:21:00,,36.0,Cairo,Credit Card,Cancelled,Motorbike,30.031672998688283,31.22180201780076,30.031402461306737,31.22529476119417,30.032486393599257,31.22406643234271,0.3382273992970446,Medium,Online,13,2250.88,Friday,June
16,U4706,463,82,Salad,1,65.31,2025-06-05 20:23:00,,54.0,Alexandria,Wallet,Delivered,Motorbike,31.187436180394137,29.925824342896917,31.198567127750568,29.918987458341107,31.21656761465888,29.929685939451684,1.3955914381385268,Low,Online,20,65.31,Thursday,June
17,U9985,51,129,Pizza,1,39.1,2025-06-14 10:24:00,,54.0,Zagazig,Cash,Delivered,Motorbike,30.579869689718382,31.50381190626761,30.600667347109905,31.504324450832023,30.573706991574355,31.484558825347364,2.3062032244652344,Medium,Online,10,39.1,Saturday,June
